ProjectID,ProjectPI,OutputVenue,OutputTitle,OutputVolume,ProjectTitle,ProjectEndYear,OutputType,OutputStatus,Affiliation,DOI,OutputMonth,OutputBiblio,ProjectYearStarted,OutputYear,ProjectRDC,ProjectStartYear,ProjID,ProjectStatus,PredictedTopic,OutputNumber,ProjectYearEnded,OutputPages,Keywords
1684.0,David H Autor,,Evaluating the Great Micro Moderation,,Trade-Induced Spillovers and Reallocation Across Firms,,MI,UP,,10.3386/w14250,September,Sergio Salgado & Nicholas Bloom & Fatih Guvenen & Luigi Pistaferri & Jhon Sabelhaus. “Evaluating the Great Micro Moderation.” Mimeo. September 2023. https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4585714.,,2023.0,Boston,2017.0,,Active,economics,,,,"micro moderation, moderation, great micro, micro, evaluating great"
1686.0,Kyle L Handley,NBER,Measuring  the  Effects  of  Firm  Uncertainty  on  Economic  Activity:  New  Evidence from One Million Documents,,"Common Ownership and Firm Dynamics: Measuring Employment, Wage, and Firm Performance Outcomes",2022.0,WP,PB,,10.3386/w14250,,"Handley, Kyle and J. Frank Li. Measuring  the  Effects  of  Firm  Uncertainty  on  Economic  Activity:  New  Evidence from One Million Documents. NBER Working Paper (October 2020) 27896.",,2020.0,Michigan,2017.0,,Completed,economics,27896,,,"firm uncertainty, uncertainty economic, uncertainty, economic activity, economic"
1686.0,Kyle L Handley,,Employment Decline during the Great Recession: The Role of Firm Size Distribution,,"Common Ownership and Firm Dynamics: Measuring Employment, Wage, and Firm Performance Outcomes",2022.0,MI,UP,,10.3386/w14250,,"Xu, Wenjian, Employment Decline during the Great Recession: The Role of Firm Size Distribution (September 11, 2020). Available at SSRN: https://ssrn.com/abstract=3690746 or http://dx.doi.org/10.2139/ssrn.3690746 ",,2020.0,Michigan,2017.0,,Completed,economics,,,,"employment decline, recession role, great recession, recession, employment"
1686.0,Kyle L Handley,University of Michigan,Labor Market Concentration does not Explain the Falling Labor Share,,"Common Ownership and Firm Dynamics: Measuring Employment, Wage, and Firm Performance Outcomes",2022.0,MI,UP,,10.3386/w14250,,"Lipsius, Ben. 2018. Labor Market Concentration does not Explain the Falling Labor Share. Mimeo.  ",,2018.0,Michigan,2017.0,,Completed,economics,,,,"labor share, labor market, falling labor, market concentration, labor"
1694.0,Nicholas A Bloom,Society for Economic Dynamics,Skewed Business Cycles,,"Management, uncertainty and firm performance",2023.0,WP,PB,,10.3386/w14250,,"Bloom, Nicholas & Fatih Guvenen & Sergio Salgado, 2016. ""Skewed Business Cycles,"" 2016 Meeting Papers 1621, Society for Economic Dynamics.",,2016.0,Stanford,2018.0,,Completed,economics,1621,,,"business cycles, skewed business, cycles, skewed, business"
1694.0,Nicholas A Bloom,American Economic Review,What Drives Differences in Management Practices?,109,"Management, uncertainty and firm performance",2023.0,JA,PB,,10.3386/w14250,,"Bloom, Nicholas, Erik Brynjolfsson, Lucia Foster, Ron Jarmin, Megha Patnaik, Itay Saporta-Eksten, and John Van Reenen, “What Drives Differences in Management Practices?” American Economic Review, 2019, 109(5): 1648-1683. [RDC]",,2019.0,Stanford,2018.0,,Completed,economics,5,,1648-1683,"management practices, differences management, management, practices, differences"
1694.0,Nicholas A Bloom,CEP Discussion Paper,"Turbulence, Firm Decentralization and Growth in Bad Times",,"Management, uncertainty and firm performance",2023.0,WP,PB,,10.3386/w14250,November,"Aghion, Philippe, Nick Bloom, Brian Lucking, Raffaella Sadun and John Van Reenen. 2019. Turbulence, Firm Decentralization and Growth in Bad Times.  CEP Discussion Paper 1479.",,2019.0,Stanford,2018.0,,Completed,economics,1479,,,"decentralization growth, firm decentralization, decentralization, turbulence firm, turbulence"
1694.0,Nicholas A Bloom,American Economic Journal: Applied Economics,"Turbulence, Firm Decentralization and Growth in Bad Times",13,"Management, uncertainty and firm performance",2023.0,JA,PB,,10.3386/w14250,January,"Aghion, Philippe, Nick Bloom, Brian Lucking, Raffaella Sadun and John Van Reenen. Turbulence, Firm Decentralization and Growth in Bad Times.  American Economic Journal: Applied Economics, 2021, 13(1) 133-169.",,2021.0,Stanford,2018.0,,Completed,economics,1,,133-169,"decentralization growth, firm decentralization, decentralization, turbulence firm, turbulence"
1694.0,Nicholas A Bloom,Review of Economics and Statistics,Trade and Management,103,"Management, uncertainty and firm performance",2023.0,JA,PB,,10.3386/w14250,July,"Bloom, Nicholas, Kalina Manova, John Van Reenen, Stephen Teng Sun, Zhihong Yu. July 2021. “Trade and Management.” Review of Economics and Statistics, 103 (3): 443–460. doi: https://doi.org/10.1162/rest_a_00925 ",,2021.0,Stanford,2018.0,,Completed,economics,3,,443-460,"trade management, management, trade"
1694.0,Nicholas A Bloom,Stanford University,"Turbulence, Firm Decentralization and Growth in Bad Times",,"Management, uncertainty and firm performance",2023.0,MI,UP,,10.3386/w14250,,"Aghion, Philippe, Nicholas Bloom, Brian Lucking, Raffaella Sadun, and John Van Reenen. 2016. “Turbulence, Firm Decentralization and Growth in Bad Times.” Stanford University mimeo. [RDC]",,2016.0,Stanford,2018.0,,Completed,economics,,,,"decentralization growth, firm decentralization, decentralization, turbulence firm, turbulence"
1694.0,Nicholas A Bloom,,"Management, Mergers, and Acquisitions",,"Management, uncertainty and firm performance",2023.0,MI,UP,,10.3386/w14250,November,"Bloom, Nicholas, Raffaella Sadun, Rachel Schuh, and John Van Reenen. 2022.  Management, Mergers, and Acquisitions. Mimeo.",,2022.0,Stanford,2018.0,,Completed,economics,,,,"mergers acquisitions, management mergers, acquisitions, mergers, management"
1694.0,Nicholas A Bloom,Society for Economic Dynamics,Skewed Business Cycles,,"Management, uncertainty and firm performance",2023.0,WP,PB,,10.3386/w14250,,"Sergio Salgado & Fatih Guvenen & Nicholas Bloom, 2019. ""Skewed Business Cycles,"" 2019 Meeting Papers 1189, Society for Economic Dynamics.",,2019.0,Stanford,2018.0,,Completed,economics,1189,,,"business cycles, skewed business, cycles, skewed, business"
1694.0,Nicholas A Bloom,,The large firm pay premium redux,,"Management, uncertainty and firm performance",2023.0,MI,UP,,10.3386/w14250,,"Bloom, Nicholas, Fatih Guvenen, Brian Lucking, Ben Smith, Jae Song and Till von Wachter. 2018. ""The large firm pay premium redux."" Mimeo.",,2018.0,Stanford,2018.0,,Completed,economics,,,,"premium redux, firm pay, pay premium, redux, premium"
1694.0,Nicholas A Bloom,NBER,"Turbulence, Firm Decentralization and Growth in Bad Times",,"Management, uncertainty and firm performance",2023.0,WP,PB,,10.3386/w14250,,"Aghion, Philippe, Nicholas Bloom, Brian Lucking, Raffaella Sadun, and John Van Reenen. 2017. “Turbulence, Firm Decentralization and Growth in Bad Times.” NBER Working Paper No. 23354. [RDC]",,2017.0,Stanford,2018.0,,Completed,economics, 23354,,,"decentralization growth, firm decentralization, decentralization, turbulence firm, turbulence"
1694.0,Nicholas A Bloom,NBER,Skewed Business Cycles,,"Management, uncertainty and firm performance",2023.0,WP,PB,,10.3386/w14250,,"Salgado, Sergio, Fatih Guvenen, and Nicholas Bloom. Skewed Business Cycles. NBER Working Paper (December 2019)",,2019.0,Stanford,2018.0,,Completed,economics,26565,,,"business cycles, skewed business, cycles, skewed, business"
1712.0,Yana A Kucheva,Demography,What Would It Take to Desegregate U.S. Metropolitan Areas? Pathways to Residential Desegregation,59,Neighborhood Migration and the Reproduction of Residential Segregation,2019.0,JA,PB,,10.3386/w14250,,"Kucheva, Yana. 2022. “What Would It Take to Desegregate U.S. Metropolitan Areas? Pathways to Residential Desegregation by Race.” Demography. 59 (2): 433–459.",,2022.0,Baruch,2016.0,,Completed,economics,2,,433-459,"desegregate metropolitan, residential desegregation, metropolitan areas, desegregate, pathways residential"
1712.0,Yana A Kucheva,Cityscape: A Journal of Policy Development and Research,"Residential Mobility and Hispanic Segregation: Spatial Assimilation and the Concentration of Poverty, 1960-2014",23,Neighborhood Migration and the Reproduction of Residential Segregation,2019.0,JA,PB,,10.3386/w14250,,"Kucheva, Yana. 2021. “Residential Mobility and Hispanic Segregation: Spatial Assimilation and the Concentration of Poverty, 1960-2014.” Cityscape: A Journal of Policy Development and Research 23(2): 207-244. https://www.jstor.org/stable/27039958",,2021.0,Baruch,2016.0,,Completed,economics,2,,207-244,"hispanic segregation, mobility hispanic, segregation spatial, segregation, residential mobility"
1712.0,Yana A Kucheva,,Racial Residential Segregation in an Era of Increasing Income Inequality and Poverty Concentration,,Neighborhood Migration and the Reproduction of Residential Segregation,2019.0,MI,UP,,10.3386/w14250,,"Kucheva, Yana.  2020.  ""Racial Residential Segregation in an Era of Increasing Income Inequality and Poverty Concentration."" Mimeo",,2020.0,Baruch,2016.0,,Completed,economics,,,,"residential segregation, segregation era, segregation, racial residential, poverty concentration"
1719.0,Arianna Ornaghi,MIT,Civil Service Reforms: Evidence from U.S. Police Departments,,Civil service reforms - evidence from US municipalities,,MI,UP,,10.3386/w14250,,"Ornaghi, Arianna, “Civil Service Reforms: Evidence from U.S. Police Departments,” MIT mimeo, 2019. ",,2019.0,Boston,2017.0,,Active,economics,,,,"civil service, service reforms, police departments, reforms evidence, reforms"
1727.0,Joelle H Abramowitz,Journal of Population Economics,Planning Parenthood: The Affordable Care Act Young Adult Provision and Pathways to Fertility,31,"Determinants of Marriage, Fertility, and Migration Decisions",2023.0,JA,PB,,10.3386/w14250,,"Abramowitz, Joelle, “Planning Parenthood: The Affordable Care Act Young Adult Provision and Pathways to Fertility,” Journal of Population Economics, 2018, 31:1097-1123. [RDC]",,2018.0,Michigan,2016.0,,Completed,economics,,,1097-1123,"planning parenthood, parenthood affordable, parenthood, fertility, adult provision"
1727.0,Joelle H Abramowitz,Center for Economic Studies,Considering the Use of Stock and Flow Outcomes in Empirical Analyses: An Examination of Marriage Data,,"Determinants of Marriage, Fertility, and Migration Decisions",2023.0,WP,PB,,10.3386/w14250,,"Abramowitz, Joelle, and Marcus Dillender. 2017. “Considering the Use of Stock and Flow Outcomes in Empirical Analyses: An Examination of Marriage Data.” Center for Economic Studies Discussion Paper 17-64. [RDC]",,2017.0,Michigan,2016.0,,Completed,economics, 17-64,,,"marriage data, marriage, stock flow, empirical analyses, flow outcomes"
1727.0,Joelle H Abramowitz,Center for Economic Studies,Planning Parenthood: The Affordable Care Act Young Adult Provision and Pathways to Fertility,,"Determinants of Marriage, Fertility, and Migration Decisions",2023.0,WP,PB,,10.3386/w14250,,"Abramowitz, Joelle. 2017. “Planning Parenthood: The Affordable Care Act Young Adult Provision and Pathways to Fertility.” Center for Economic Studies Discussion Paper 17-65. [RDC]",,2017.0,Michigan,2016.0,,Completed,economics, 17-65,,,"planning parenthood, parenthood affordable, parenthood, fertility, adult provision"
1731.0,Benjamin W Pugsley,Harvard Business School,The Transformation of Self Employment,,The Dynamics of the Small Business Sector: Evidence from the Survey of Business Owners and the Annual Survey of Entrepreneurs,,WP,PB,,10.3386/w14250,January,"Colaiacovo, Innessa, Margaret G. Dalton, Sari Pekkala Kerr, and William R. Kerr. The Transformation of Self Employment. Harvard Business School Working Paper No.22-051. January 2022",,2022.0,Chicago,2018.0,,Active,economics,22-051,,,"self employment, employment, transformation self, transformation, self"
1731.0,Benjamin W Pugsley,University of Chicago Press,Immigration Policy Levers for US Innovation and Startups,,The Dynamics of the Small Business Sector: Evidence from the Survey of Business Owners and the Annual Survey of Entrepreneurs,,BC,PB,,10.3386/w14250,,"Kerr, Sari Pekkala and William R. Kerr. 2021. Immigration Policy Levers for US Innovation and Startups. In Innovation and Public Policy, ed. Austan Goolsbee and Benjamin F. Jones. University of Chicago Press. ",,2021.0,Chicago,2018.0,,Active,economics,,,,"innovation startups, immigration policy, immigration, levers innovation, innovation"
1731.0,Benjamin W Pugsley,In Lissoni and Morrison (Eds.) Migration and Innovation: A Research Agenda. Edward Elgar Publishing (forthcoming).,Immigrant Entrepreneurs: New Estimates and a Research Agenda,,The Dynamics of the Small Business Sector: Evidence from the Survey of Business Owners and the Annual Survey of Entrepreneurs,,BC,FC,,10.3386/w14250,,"Chodavadia, Kerr, Kerr, and Maiden, (2023), “Immigrant Entrepreneurs: New Estimates and a Research Agenda.” In Lissoni and Morrison (Eds.) Migration and Innovation: A Research Agenda. Edward Elgar Publishing (forthcoming).",,2023.0,Chicago,2018.0,,Active,economics,,,,"immigrant entrepreneurs, entrepreneurs, entrepreneurs new, immigrant, estimates research"
1731.0,Benjamin W Pugsley,NBER,Demographic Origins of the Startup Deficit,,The Dynamics of the Small Business Sector: Evidence from the Survey of Business Owners and the Annual Survey of Entrepreneurs,,WP,PB,,10.3386/w14250,,"Karahan, Fatih, Benjamin Pugsley, and Aysegul Sahin, “Demographic Origins of the Startup Deficit,” NBER Working Paper 25874 (May 2019).",,2019.0,Chicago,2018.0,,Active,economics,,,,"startup deficit, demographic origins, deficit, startup, demographic"
1731.0,Benjamin W Pugsley,NBER,The Transformation of Self Employment,,The Dynamics of the Small Business Sector: Evidence from the Survey of Business Owners and the Annual Survey of Entrepreneurs,,WP,PB,,10.3386/w14250,February,"Colaiacovo, Innessa, Margaret G. Dalton, Sari Pekkala Kerr, and William R. Kerr. The Transformation of Self Employment. NBER Working Paper No. 29725. February 2022",,2022.0,Chicago,2018.0,,Active,economics,29725,,,"self employment, employment, transformation self, transformation, self"
1731.0,Benjamin W Pugsley,University of Notre Dame,Demographic Origins of the Startup Deficit,,The Dynamics of the Small Business Sector: Evidence from the Survey of Business Owners and the Annual Survey of Entrepreneurs,,MI,UP,,10.3386/w14250,,"Karahan, Fatih, Benjamin Pugsley, and Aysegul Sahin, “Demographic Origins of the Startup Deficit,” University of Notre Dame mimeo, 2018. [RDC] ",,2018.0,Chicago,2018.0,,Active,economics,,,,"startup deficit, demographic origins, deficit, startup, demographic"
1731.0,Benjamin W Pugsley,Center for Economic Studies,The Nature of Firm Growth,,The Dynamics of the Small Business Sector: Evidence from the Survey of Business Owners and the Annual Survey of Entrepreneurs,,WP,PB,,10.3386/w14250,,"Pugsley, Benjamin W., Peter Sedlacek, and Vincent Sterk, “The Nature of Firm Growth,” Center for Economic Studies Discussion Paper 18-30, 2018. [RDC]",,2018.0,Chicago,2018.0,,Active,economics, 18-30,,,"firm growth, growth, firm, nature firm, nature"
1731.0,Benjamin W Pugsley,Center for Economic Studies,"Comparison of Estimates: Survey of Business Owners, Annual Survey of Entrepreneurs, and Annual Business Survey",,The Dynamics of the Small Business Sector: Evidence from the Survey of Business Owners and the Annual Survey of Entrepreneurs,,TN,PB,,10.3386/w14250,,"Sari Kerr & William Kerr, 2023. ""Comparison of Estimates: Survey of Business Owners, Annual Survey of Entrepreneurs, and Annual Business Survey,"" CES Technical Notes Series 23-20, Center for Economic Studies, U.S. Census Bureau.",,2023.0,Chicago,2018.0,,Active,economics,23-20,,,"estimates survey, business survey, survey entrepreneurs, annual survey, entrepreneurs annual"
1731.0,Benjamin W Pugsley,Journal of Human Capital,Whose Job is it Anyway? Coethnic Hiring in New US Ventures,15,The Dynamics of the Small Business Sector: Evidence from the Survey of Business Owners and the Annual Survey of Entrepreneurs,,JA,PB,,10.3386/w14250,,"Kerr, Sari Pekkala and William R. Kerr.  2021. Whose Job is it Anyway? Coethnic Hiring in New US Ventures. Journal of Human Capital. 15(1) Spring 2021.",,2021.0,Chicago,2018.0,,Active,economics,1,,,"coethnic hiring, job coethnic, hiring, hiring new, new ventures"
1731.0,Benjamin W Pugsley,Center for Economic Studies,The Transformation of Self Employment,,The Dynamics of the Small Business Sector: Evidence from the Survey of Business Owners and the Annual Survey of Entrepreneurs,,WP,PB,,10.3386/w14250,February,"Innessa Colaiacovo & Margaret Dalton & Sari Pekkala Kerr & William R. Kerr, 2022. ""The Transformation of Self Employment,"" Working Papers 22-03, Center for Economic Studies, U.S. Census Bureau.",,2022.0,Chicago,2018.0,,Active,economics,22-03,,,"self employment, employment, transformation self, transformation, self"
1731.0,Benjamin W Pugsley,American Economic Review,The Nature of Firm Growth,111,The Dynamics of the Small Business Sector: Evidence from the Survey of Business Owners and the Annual Survey of Entrepreneurs,,JA,PB,,10.3386/w14250,,"Pugsley, Benjamin W., Peter Sedlacek, and Vincent Sterk. 2021 “The Nature of Firm Growth,” American Economic Review. 111(2) 547-579 (February).",,2021.0,Chicago,2018.0,,Active,economics,2,,547-579,"firm growth, growth, firm, nature firm, nature"
1731.0,Benjamin W Pugsley,University of Notre Dame,Has Local Competitiveness Declined?,,The Dynamics of the Small Business Sector: Evidence from the Survey of Business Owners and the Annual Survey of Entrepreneurs,,DI,PB,,10.3386/w14250,,"Dinh, Lan. 2022. Has Local Competitiveness Declined? University of Notre Dame. Ph.D. Dissertation chapter.",,2022.0,Chicago,2018.0,,Active,economics,,,,"local competitiveness, competitiveness declined, competitiveness, local, declined"
1731.0,Benjamin W Pugsley,Center for Economic Studies,Demographic Origins of the Startup Deficit,,The Dynamics of the Small Business Sector: Evidence from the Survey of Business Owners and the Annual Survey of Entrepreneurs,,WP,PB,,10.3386/w14250,,"Karahan, Fatih, Benjamin Pugsley, and Aysegul Sahin. 2019. “Demographic Origins of the Startup Deficit,” Center for Economic Studies Discussion Paper 19-21.",,2019.0,Chicago,2018.0,,Active,economics,19-21,,,"startup deficit, demographic origins, deficit, startup, demographic"
1731.0,Benjamin W Pugsley,NBER,Immigration Policy Levers for US Innovation and Startups,,The Dynamics of the Small Business Sector: Evidence from the Survey of Business Owners and the Annual Survey of Entrepreneurs,,WP,PB,,10.3386/w14250,,"Kerr, Sari Pekkala and William R. Kerr. 2020. Immigration Policy Levers for US Innovation and Startups. NBER Working Paper 27040 (April 2020).",,2020.0,Chicago,2018.0,,Active,economics,27040,,,"innovation startups, immigration policy, immigration, levers innovation, innovation"
1743.0,Sarah M Miller,NBER,The Impact of Insurance Expansions on the Already Insured: The Affordable Care Act and Medicare,,The Short and Long Term Effects of Public Health Interventions,,WP,PB,,,,"Carey, Colleen M., Sarah Miller, and Laura R. Wherry, “The Impact of Insurance Expansions on the Already Insured: The Affordable Care Act and Medicare,” NBER Working Paper No. 25153, 2018.",,2018.0,Michigan,2017.0,,Active,economics,,,,"insurance expansions, expansions insured, insured affordable, insurance, insured"
1743.0,Sarah M Miller,Journal of Human Resources,The Long-Term Effects of Early Life Medicaid Coverage,54,The Short and Long Term Effects of Public Health Interventions,,JA,PB,,10.3386/w14250,,"Miller, Sarah, and Laura R. Wherry. “The Long-Term Effects of Early Life Medicaid Coverage.” Journal of Human Resources. Summer 2019 vol. 54 no. 3 785-824.",,2019.0,Michigan,2017.0,,Active,economics,,,785-824,"medicaid coverage, life medicaid, medicaid, early life, effects early"
1743.0,Sarah M Miller,Quarterly Journal of Economics,Medicaid and Mortality: New Evidence from Linked Survey and Administrative Data,136,The Short and Long Term Effects of Public Health Interventions,,JA,PB,,10.3386/w14250,August,"Miller, S., Altekruse, S., Johnson, N. and L. Wherry. 2019. Medicaid and Mortality: New Evidence from Linked Survey and Administrative Data. The Quarterly Journal of Economics, Volume 136, Issue 3, August 2021, Pages 1783–1829.",,2021.0,Michigan,2017.0,,Active,economics,,,1783-1829,"medicaid mortality, medicaid, mortality new, mortality, linked survey"
1743.0,Sarah M Miller,NBER,Medicaid and Mortality: New Evidence from Linked Survey and Administrative Data,,The Short and Long Term Effects of Public Health Interventions,,WP,PB,,10.3386/w14250,January,"Miller, S., Altekruse, S., Johnson, N. and L. Wherry. 2019. Medicaid and Mortality: New Evidence from Linked Survey and Administrative Data. NBER Working Paper 26081. July 2019 (Revised January 2021).",,2021.0,Michigan,2017.0,,Active,economics,,,,"medicaid mortality, medicaid, mortality new, mortality, linked survey"
1743.0,Sarah M Miller,American Economic Journal: Applied Economics,The Impact of Insurance Expansions on the Already Insured: The Affordable Care Act and Medicare,12,The Short and Long Term Effects of Public Health Interventions,,JA,PB,,10.3386/w14250,,"Carey, C., S. Miller and L.Wherry. 2019. The Impact of Insurance Expansions on the Already Insured: The Affordable Care Act and Medicare. American Economic Journal: Applied Economics. 12:4 (October 2020) 288-318.",,2020.0,Michigan,2017.0,,Active,economics,,,288-318,"insurance expansions, expansions insured, insured affordable, insurance, insured"
1743.0,Sarah M Miller,Harvard University,How Does Access to College Affect Long-Term Life Outcomes? Evidence from U.S. Openings of Two-Year Public Colleges,,The Short and Long Term Effects of Public Health Interventions,,MI,UP,,10.3386/w14250,November,"Connolly, K. 2021. How Does Access to College Affect Long-Term Life Outcomes? Evidence from U.S. Openings of Two-Year Public Colleges. Working paper, Harvard University (available here: https://scholar.harvard.edu/kconnolly/research). November 23, 2021.",,2021.0,Michigan,2017.0,,Active,economics,,,,"access college, college affect, public colleges, college, colleges"
1743.0,Sarah M Miller,Health Affairs,"Estimated Mortality Increases During the COVID-19 Pandemic by Socioeconomic Status, Race, and Ethnicity",40,The Short and Long Term Effects of Public Health Interventions,,JA,PB,,10.3386/w14250,July,"Miller, Sarah, Laura R. Wherry, and Bhashkar Mazumder.  ""Estimated Mortality Increases During the COVID-19 Pandemic by Socioeconomic Status, Race, and Ethnicity."" Health Affairs 40(8) July 21, 2021.",,2021.0,Michigan,2017.0,,Active,economics,8,,,"pandemic socioeconomic, mortality increases, estimated mortality, increases covid, 19 pandemic"
1745.0,Hongwei Xu,Demography,"Income Segregation: Up or Down, and for Whom?",57,Improving Estimates for Post-2000 Small Area Data,2022.0,JA,PB,,10.3386/w14250,,"John R. Logan, Andrew Foster, Hongwei Xu, and Wenquan Zhang. 2020. ""Income Segregation: Up or Down, and for Whom?"" Demography 57:1951-1974. https://doi.org/10.1007/s13524-020-00917-0.",,2020.0,Baruch,2018.0,,Completed,economics,,,1951-1974,"income segregation, segregation, income"
1745.0,Hongwei Xu,Geographical Analysis,Models for Small Area Estimation for Census Tracts,52,Improving Estimates for Post-2000 Small Area Data,2022.0,JA,PB,,10.3386/w14250,,"John R. Logan, Cici Bauer, Jun Ke, Hongwei Xu, and Fan Li. 2020. “Models for Small Area Estimation for Census Tracts” Geographical Analysis 52: 325-350. doi: 10.1111/gean.12215.",,2020.0,Baruch,2018.0,,Completed,economics,,,325-350,"census tracts, estimation census, census, area estimation, small area"
1745.0,Hongwei Xu,"Diversity and Disparities Project, Brown University",Corrected measures of metropolitan income segregation for 1980-2010,,Improving Estimates for Post-2000 Small Area Data,2022.0,DS,PB,,10.3386/w14250,,"Corrected measures of metropolitan income segregation for 1980-2010, following disclosure review, have been made available for individual metropolitan regions: (https://s4.ad.brown.edu/projects/diversity/IncSeg3/default.aspx) and as a complete data download: https://s4.ad.brown.edu/Projects/diversity/IncSeg2/IncSegDLoad/Default.aspx",,2021.0,Baruch,2018.0,,Completed,economics,,,,"income segregation, metropolitan income, segregation 1980, measures metropolitan, segregation"
1745.0,Hongwei Xu,Center for Economic Studies,Metropolitan Segregation: No Breakthrough in Sight,,Improving Estimates for Post-2000 Small Area Data,2022.0,WP,PB,,10.3386/w14250,May,"Logan, John R. & Brian J. Stults, 2022. ""Metropolitan Segregation: No Breakthrough in Sight,"" Working Papers 22-14, Center for Economic Studies, U.S. Census Bureau.",,2022.0,Baruch,2018.0,,Completed,economics,22-14,,,"metropolitan segregation, segregation, segregation breakthrough, metropolitan, breakthrough sight"
1745.0,Hongwei Xu,American Journal of Sociology,The Uptick in Income Segregation: Real Trend or Random Sampling Variation?,124,Improving Estimates for Post-2000 Small Area Data,2022.0,JA,PB,,10.3386/w14250,,"John R. Logan, Andrew Foster, Jun Ke, and Fan Li.  2018.  ""The Uptick in Income Segregation: Real Trend or Random Sampling Variation?""  American Journal of Sociology 124: 185-222. ",,2018.0,Baruch,2018.0,,Completed,economics,,,185-222,"income segregation, segregation, uptick income, segregation real, income"
1745.0,Hongwei Xu,American Journal of Sociology,Time to Move Forward: Reply to Bischoff Et Al.,127,Improving Estimates for Post-2000 Small Area Data,2022.0,JA,PB,,10.3386/w14250,,"Logan, John R., Andrew Foster, Hongwei Xu, and Wenquan Zhang. 2022. ""Time to Move Forward: Reply to Bischoff Et Al."" American Journal of Sociology 127(5): 1675-82. https://doi.org/10.1086/719570. https://doi.org/10.1086/719570.",,2022.0,Baruch,2018.0,,Completed,economics,5,,1675-82,"reply bischoff, bischoff et, bischoff, et al, forward reply"
1745.0,Hongwei Xu,"Diversity and Disparities Project, Brown University",The Persistence of Segregation in the Metropolis: New Findings from the 2020 Census,,Improving Estimates for Post-2000 Small Area Data,2022.0,RE,PB,,10.3386/w14250,,"Logan, John R., and Brian Stults. 2021. “The Persistence of Segregation in the Metropolis: New Findings from the 2020 Census” Diversity and Disparities Project, Brown University, https://s4.ad.brown.edu/Projects/Diversity.",,2021.0,Baruch,2018.0,,Completed,economics,,,,"segregation metropolis, segregation, census, metropolis, 2020 census"
1748.0,Annie E Ro,Population Research and Policy Review,Comparing the Effectiveness of Assignment Strategies for Estimating Likely Undocumented Status in Secondary Data Sources for Latino and Asian Immigrants,,Validating Estimates of Migration Status among Asian Immigrants in Representative Data Sources,2020.0,JA,PB,,10.3386/w14250,,"Ro, A., Van Hook, J. Comparing the Effectiveness of Assignment Strategies for Estimating Likely Undocumented Status in Secondary Data Sources for Latino and Asian Immigrants. Popul Res Policy Rev (2021). https://doi.org/10.1007/s11113-021-09658-3",,2021.0,Irvine,2017.0,,Completed,economics,,,,"sources latino, undocumented status, immigrants, latino, asian immigrants"
1748.0,Annie E Ro,PL0s ONE,Comparing immigration status and health patterns between Latinos and Asians: Evidence from the Survey of Income and Program Participation,16,Validating Estimates of Migration Status among Asian Immigrants in Representative Data Sources,2020.0,JA,PB,,10.3386/w14250,February,"Ro A, Van Hook J (2021) Comparing immigration status and health patterns between Latinos and Asians: Evidence from the Survey of Income and Program Participation. PLoS ONE 16(2): e0246239. https://doi.org/10.1371/journal.pone.0246239",,2021.0,Irvine,2017.0,,Completed,economics,2,,,"latinos asians, immigration status, patterns latinos, latinos, comparing immigration"
1756.0,Joshua D Gottlieb,CEPR,The Spillover Effects of Top Income Inequality,,The Snowball Effect of Top-income Inequality,,WP,PB,,10.3386/w14250,June,"Joshua D. Gottlieb, David Hémous, Jeffrey Hicks, and Morten Olsen, June 2023, The Spillover Effects of Top Income Inequality, CEPR Discussion Paper DP18212. ",,2023.0,Chicago,2017.0,,Active,economics,18212,,,"income inequality, spillover effects, effects income, spillover, income"
1756.0,Joshua D Gottlieb,Center for Economic Studies,The Spillover Effects of Top Income Inequality,,The Snowball Effect of Top-income Inequality,,WP,PB,,10.3386/w14250,June,"Joshua D. Gottlieb, David Hémous, Jeffrey Hicks, and Morten Olsen, June 2023, The Spillover Effects of Top Income Inequality, Census Working Paper Number CES-23-29. ",,2023.0,Chicago,2017.0,,Active,economics,23-29,,,"income inequality, spillover effects, effects income, spillover, income"
1756.0,Joshua D Gottlieb,Becker-Friedman Institute,The Spillover Effects of Top Income Inequality,,The Snowball Effect of Top-income Inequality,,WP,PB,,10.3386/w14250,June,"Joshua D. Gottlieb, David Hémous, Jeffrey Hicks, and Morten Olsen, June 2023, The Spillover Effects of Top Income Inequality, Becker-Friedman Institute Working Paper No. 2023-83. ",,2023.0,Chicago,2017.0,,Active,economics,2023-83,,,"income inequality, spillover effects, effects income, spillover, income"
1756.0,Joshua D Gottlieb,NBER,The Spillover Effects of Top Income Inequality,,The Snowball Effect of Top-income Inequality,,WP,PB,,10.3386/w14250,June,"Joshua D. Gottlieb, David Hémous, Jeffrey Hicks, and Morten Olsen, June 2023, The Spillover Effects of Top Income Inequality, NBER Working Paper 31366. ",,2023.0,Chicago,2017.0,,Active,economics,31366,,,"income inequality, spillover effects, effects income, spillover, income"
